"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"POAI","Predictive Oncology Inc.","0.9866","$15.21M","n/a","Health Care","Industrial Specialties","https://old.nasdaq.com/symbol/poai",
"PFBC","Preferred Bank","31.09","$464.29M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pfbc",
"PLPC","Preformed Line Products Company","48.26","$237.22M","n/a","Basic Industries","Water Supply","https://old.nasdaq.com/symbol/plpc",
"PFBI","Premier Financial Bancorp, Inc.","10.43","$153.04M","1996","Finance","Major Banks","https://old.nasdaq.com/symbol/pfbi",
"PFC","Premier Financial Corp. ","14.93","$556.84M","n/a","Finance","Savings Institutions","https://old.nasdaq.com/symbol/pfc",
"PINC","Premier, Inc.","30.56","$3.72B","2013","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/pinc",
"SQFT","Presidio Property Trust, Inc.","n/a","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/sqft",
"PBIO","Pressure BioSciences, Inc.","1.6351","$1.8M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pbio",
"PRVL","Prevail Therapeutics Inc.","11","$376.36M","2019","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/prvl",
"PRGX","PRGX Global, Inc.","4.88","$115.23M","1996","Consumer Services","Diversified Commercial Services","https://old.nasdaq.com/symbol/prgx",
"PSMT","PriceSmart, Inc.","63.11","$1.93B","n/a","Consumer Services","Department/Specialty Retail Stores","https://old.nasdaq.com/symbol/psmt",
"PNRG","PrimeEnergy Resources Corporation","67.06","$133.73M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/pnrg",
"PRMW","Primo Water Corporation","13.92","$2.23B","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/prmw",
"PRIM","Primoris Services Corporation","17.89","$863.22M","n/a","Basic Industries","Water Supply","https://old.nasdaq.com/symbol/prim",
"PFG","Principal Financial Group Inc","37.79","$10.37B","2001","Finance","Accident &Health Insurance","https://old.nasdaq.com/symbol/pfg",
"BTEC","Principal Healthcare Innovators Index ETF","45.5661","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/btec",
"PDEV","Principal International Multi-Factor Core Index ETF","25.447","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pdev",
"GENY","Principal Millennials Index ETF","47.0616","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/geny",
"PSET","Principal Price Setters Index ETF","41.9717","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pset",
"PY","Principal Shareholder Yield Index ETF","27.9776","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/py",
"PLC","Principal U.S. Large-Cap Multi-Factor Core Index ETF","26.4838","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/plc",
"USMC","Principal U.S. Mega-Cap Multi-Factor Index ETF","31.825","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/usmc",
"PSC","Principal U.S. Small-Cap Multi-Factor Index ETF","27.0157","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/psc",
"PSM","Principal U.S. Small-MidCap Multi-Factor Core Index ETF","23.6151","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/psm",
"PRNB","Principia Biopharma Inc.","99.95","$3.32B","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/prnb",
"PRTH","Priority Technology Holdings, Inc.","2.53","$169.93M","2016","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/prth",
"PCSA","Processa Pharmaceuticals, Inc.","9.94","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pcsa",
"UFO","Procure Space ETF","20.6842","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ufo",
"PDEX","Pro-Dex, Inc.","27.01","$103.67M","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/pdex",
"IPDN","Professional Diversity Network, Inc.","0.8177","$10.48M","2013","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/ipdn",
"PFHD","Professional Holding Corp.","12.17","$163.69M","2020","Finance","Major Banks","https://old.nasdaq.com/symbol/pfhd",
"PFIE","Profire Energy, Inc.","0.675","$32.34M","n/a","Energy","Metal Fabrications","https://old.nasdaq.com/symbol/pfie",
"PROF","Profound Medical Corp.","16.17","$313.34M","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/prof",
"PROG","Progenity, Inc.","8.71","$405.43M","1995","Health Care","Medical Specialities","https://old.nasdaq.com/symbol/prog",
"PRGS","Progress Software Corporation","35.22","$1.59B","1991","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/prgs",
"PGNY","Progyny, Inc.","26.9","$2.31B","2019","Health Care","Misc Health and Biotechnology Services","https://old.nasdaq.com/symbol/pgny",
"LUNG","ProLung, Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/lung",
